date,coffees,teas,yerbas,carbs_g,water_ml
"2014-01-01",0,0,0,0,0
"2014-01-02",0,0,0,0,0
"2014-01-03",0,0,0,0,0
"2014-01-04",0,0,0,0,0
"2014-01-05",0,0,0,0,0
"2014-01-06",0,0,0,0,0
"2014-01-07",0,0,0,0,0
"2014-01-08",0,0,0,0,0
"2014-01-09",0,0,0,0,0
"2014-01-10",0,0,0,0,0
"2014-01-11",0,0,0,0,0
"2014-01-12",0,0,0,0,0
"2014-01-13",0,0,0,0,0
"2014-01-14",0,0,0,0,0
"2014-01-15",0,0,0,0,0
"2014-01-16",0,0,0,0,0
"2014-01-17",0,0,0,0,0
"2014-01-18",0,0,0,0,0
"2014-01-19",0,0,0,0,0
"2014-01-20",0,0,0,0,0
"2014-01-21",0,0,0,0,0
"2014-01-22",0,0,0,0,0
"2014-01-23",0,0,0,0,0
"2014-01-24",0,0,0,0,0
"2014-01-25",0,0,0,0,0
"2014-01-26",0,0,0,0,0
"2014-01-27",0,0,0,0,0
"2014-01-28",0,0,0,0,0
"2014-01-29",0,0,0,0,0
"2014-01-30",0,0,0,0,0
"2014-01-31",0,0,0,0,0
"2014-02-01",0,0,0,0,0
"2014-02-02",0,0,0,0,0
"2014-02-03",0,0,0,0,0
"2014-02-04",0,0,0,0,0
"2014-02-05",0,0,0,0,0
"2014-02-06",0,0,0,0,0
"2014-02-07",0,0,0,0,0
"2014-02-08",0,0,0,0,0
"2014-02-09",0,0,0,0,0
"2014-02-10",0,0,0,0,0
"2014-02-11",0,0,0,0,0
"2014-02-12",0,0,0,0,0
"2014-02-13",0,0,0,0,0
"2014-02-14",0,0,0,0,0
"2014-02-15",0,0,0,0,0
"2014-02-16",0,0,0,0,0
"2014-02-17",0,0,0,0,0
"2014-02-18",0,0,0,0,0
"2014-02-19",0,0,0,0,0
"2014-02-20",0,0,0,0,0
"2014-02-21",0,0,0,0,0
"2014-02-22",0,0,0,0,0
"2014-02-23",0,0,0,0,0
"2014-02-24",0,0,0,0,0
"2014-02-25",0,0,0,0,0
"2014-02-26",0,0,0,0,0
"2014-02-27",0,0,0,0,0
"2014-02-28",0,0,0,0,0
"2014-03-01",0,0,0,0,0
"2014-03-02",0,0,0,0,0
"2014-03-03",0,0,0,0,0
"2014-03-04",0,0,0,0,0
"2014-03-05",1,1,0,284,473.2
"2014-03-06",1,1,0,405,709.8
"2014-03-07",0,0,0,316,946.4
"2014-03-08",1,1,0,224,473.2
"2014-03-09",1,0,0,263,473.2
"2014-03-10",1,0,0,385,709.8
"2014-03-11",1,0,0,274,1146.4
"2014-03-12",1,0,0,384,916.8
"2014-03-13",1,0,0,215,709.8
"2014-03-14",1,0,0,192,709.8
"2014-03-15",1,0,0,485,236.6
"2014-03-16",0,0,0,225,473.2
"2014-03-17",1,0,0,239,946.4
"2014-03-18",1,0,0,249,473.2
"2014-03-19",1,1,0,330,709.8
"2014-03-20",2,0,0,351,946.4
"2014-03-21",1,0,0,328,709.8
"2014-03-22",1,1,0,185,236.6
"2014-03-23",0,1,0,269,473.2
"2014-03-24",0,0,0,372,573.2
"2014-03-25",1,0,0,191,236.6
"2014-03-26",1,0,0,262,709.8
"2014-03-27",1,0,0,235,473.2
"2014-03-28",1,0,0,203,621
"2014-03-29",0,2,0,339,736.4
"2014-03-30",1,1,0,378,621
"2014-03-31",1,0,0,325,473.2
"2014-04-01",1,0,0,306,236.6
"2014-04-02",1,0,0,314,473.2
"2014-04-03",1,0,0,245,473.2
"2014-04-04",1,1,0,254,236.6
"2014-04-05",0,1,0,185,384.5
"2014-04-06",1,1,0,308,236.6
"2014-04-07",1,0,0,182,473.2
"2014-04-08",1,0,0,404,739.3
"2014-04-09",2,0,0,268,236.6
"2014-04-10",2,0,0,344,946.4
"2014-04-11",1,0,0,341,473.2
"2014-04-12",1,1,0,238,236.6
"2014-04-13",1,2,0,184,709.8
"2014-04-14",1,0,0,271,1182.9
"2014-04-15",2,0,0,274,473.2
"2014-04-16",2,3,0,244,473.2
"2014-04-17",2,0,0,255,236.6
"2014-04-18",1,0,0,266,709.8
"2014-04-19",2,0,0,371,384.5
"2014-04-20",1,0,0,383,236.6
